"SL","ServiceID","Shop_Name","Address","JobCard_Number","Vehicle","Bill_Date","Bill_Number","Amount","Paid","Paid_Date","Bill_Returned","Return_Amount","Returned_Date","Item"
1,1,"Bardahl",," AL/2023/1","KL33T6789",1-5-2023 00:00:00,"12345",500.00,,,"No",,,
2,1,"Regency",," AL/2023/1","KL45E9080",24-5-2023 00:00:00,"B2C3308",14466.00,,,"No",,,
3,1,"Regency",," AL/2023/1","KL45E9080",24-5-2023 00:00:00,"B2C3347",2535.00,,,"No",,,
4,1,"Regency",," AL/2023/1","KL45E9080",13-6-2023 00:00:00,"B2C4605",277.00,,,"No",,,
5,1,"Regency",," AL/2023/1","KL45E9080",13-6-2023 00:00:00,"B2C4632",460.00,,,"No",,,
6,1,"Regency",," AL/2023/1","KL45E9080",14-6-2023 00:00:00,"B2C4714",100.00,,,"No",,,
7,1,"Regency",," AL/2023/1","KL45E9080",14-6-2023 00:00:00,"B2C4733",84.00,,,"No",,,
8,1,"Regency",," AL/2023/1","KL45E9080",16-6-2023 00:00:00,"B2C4839",130.00,,,"No",,,
9,3,"Regency",," AL/2023/3","KL23F6674",29-4-2023 00:00:00,"B2C1784",195.00,,,,,,
10,3,"Regency",," AL/2023/3","KL23F6674",28-4-2023 00:00:00,"B2C1659",300.00,,,,,,
11,5,"Regency",," AL/2023/5","KL23K0014",10-6-2023 00:00:00,"B2C4482",9534.00,,,"No",,,
12,5,"Regency",," AL/2023/5","KL23K0014",10-6-2023 00:00:00,"B2C4487",260.00,,,"No",,,
13,5,"Regency",," AL/2023/5","KL23K0014",10-6-2023 00:00:00,"B2C4491",350.00,,,"No",,,
14,5,"Regency",," AL/2023/5","KL23K0014",13-6-2023 00:00:00,"B2C4606",1200.00,,,"No",,,
15,5,"Regency",," AL/2023/5","KL23K0014",13-6-2023 00:00:00,"B2C4621",10112.00,,,"No",,,
16,5,"Regency",," AL/2023/5","KL23K0014",19-6-2023 00:00:00,"B2C5030",1272.00,,,"No",,,
17,5,"Regency",," AL/2023/5","KL23K0014",19-6-2023 00:00:00,"B2C5019",800.00,,,"No",,,
18,5,"Excel Auto Parts",," AL/2023/5","KL23K0014",10-7-2023 00:00:00,"EXCL7",5680.00,,,,,,
19,5,"Regency",," AL/2023/5","KL23K0014",28-6-2023 00:00:00,"B2C5657",984.00,,,"No",,,
20,5,"Regency",," AL/2023/5","KL23K0014",28-6-2023 00:00:00,"B2C5668",140.00,,,"No",,,
21,5,"Regency",," AL/2023/5","KL23K0014",28-6-2023 00:00:00,"B2C5685",49.00,,,"No",,,
22,5,"Excel Auto Parts",," AL/2023/5","KL23K0014",24-6-2023 00:00:00,"EXCL16",7150.00,,,"No",,,
23,5,"Best Auto Shop",," AL/2023/5","KL23K0014",10-7-2023 00:00:00,"INVNO1190",1280.00,1280.00,10-7-2023 00:00:00,"No",,,
24,5,"Excel Auto Parts",," AL/2023/5","KL23K0014",30-6-2023 00:00:00,"EXCL30",3730.00,,,"No",,,
25,5,"Excel Auto Parts",," AL/2023/5","KL23K0014",18-7-2023 00:00:00,"EXCL34",700.00,,,"No",,,
26,5,"Excel Auto Parts",," AL/2023/5","KL23K0014",17-7-2023 00:00:00,"EXCL",250.00,,,"No",,,
27,9,"Regency",," AL/2023/10","KL2Z4599",4-8-2023 00:00:00,"B2C8094",100.00,,,"No",,,
28,10,"Excel Auto Parts",," AL/2023/11","KL23D2055",22-7-2023 00:00:00,"EXCL38",13140.00,,,"No",,,
29,10,"Regency",," AL/2023/11","KL23D2055",26-7-2023 00:00:00,"B2C7414",2720.00,,,"No",,,
30,10,"Regency",," AL/2023/11","KL23D2055",17-10-2023 00:00:00,"B2C12677",40.00,,,"No",,,
31,11,"Regency",," AL/2023/13","HR26B8814",9-6-2023 00:00:00,"B2C4360",900.00,,,"No",,,
32,11,"Excel Auto Parts",," AL/2023/13","HR26BQ8114",23-6-2023 00:00:00,"EXCL15",650.00,,,"No",,,
33,11,"Best Auto Shop",," AL/2023/13","HR26BQ8114",25-7-2023 00:00:00,"INVN1425",2860.00,2860.00,25-7-2023 00:00:00,"No",,,
34,11,"Regency",," AL/2023/13","HR26BQ8114",4-9-2023 00:00:00,"B2C9878",230.00,,,"No",,,
35,15,"Regency",," AL/2023/17","KL01AK3464",15-7-2023 00:00:00,"B2C6793",235.00,,,"No",,,
36,15,"Mobis Hyundai",," AL/2023/17","KL01AK3464",15-7-2023 00:00:00,"UH1265",385.00,,,"No",,,
37,15,"Regency",," AL/2023/17","KL01AK3464",22-7-2023 00:00:00,"B2C7224",430.00,,,"No",,,
38,15,"Regency",," AL/2023/17","KL01AK3464",22-7-2023 00:00:00,"B2C7230",40.00,,,"No",,,
39,15,"Regency",," AL/2023/17","KL01AK3464",17-8-2023 00:00:00,"B2C8897",210.00,,,"No",,,
40,15,"Universal New Gen",," AL/2023/17","KL01AK3464",17-8-2023 00:00:00,"3621",266.00,,,"No",,,
41,15,"Regency",," AL/2023/17","KL01AK3464",17-8-2023 00:00:00,"B2C8971",100.00,,,"No",,,
42,15,"Mobis Hyundai",," AL/2023/17","KL01AK3464",27-9-2023 00:00:00,"UH2086",640.00,,,"No",,,
43,15,"Regency",," AL/2023/17","KL01AK3464",31-10-2023 00:00:00,"B2C13574",238.00,,,"No",,,
44,17,"Regency",," AL/2023/20","KL11U8000",3-6-2023 00:00:00,"B2C4025",1054.00,,,"No",,,
45,18,"Regency",," AL/2023/21","KL01BH9007",9-6-2023 00:00:00,"B2C4397",50.00,,,"No",,,
46,24,"Regency",," AL/2023/28","KL23B4765",30-5-2023 00:00:00,"B2C3749",1700.00,,,"No",,,
47,25,"Regency",," AL/2023/29","KL23V8035",27-4-2023 00:00:00,"B2C1620",260.00,,,,,,
48,26,"Regency",," AL/2023/30","KL23H9762",28-4-2023 00:00:00,"B2C1717",260.00,,,,,,
49,27,"Mobis Hyundai",," AL/2023/31","KL08BC9883",31-7-2023 00:00:00,"UH1426",500.00,545.00,31-7-2023 00:00:00,"No",,,
50,27,"Mobis Hyundai",," AL/2023/31","KL08BC9883",11-8-2023 00:00:00,"UH1549",2142.00,2142.00,11-8-2023 00:00:00,"No",,,
51,27,"Regency",," AL/2023/31","KL08BC9883",23-8-2023 00:00:00,"B2C9391",10.00,,,"No",,,
52,28,"Universal New Gen",," AL/2023/32","KL05AF4999",6-3-2024 00:00:00,"8512",2417.00,,,"No",,,
53,29,"Regency",," AL/2023/33","KL42C9117",1-7-2023 00:00:00,"B2C5860",350.00,,,"No",,,
54,30,"Regency",," AL/2023/34","KL27B9823",12-6-2023 00:00:00,"B2C4514",1386.00,,,"No",,,
55,30,"Regency",," AL/2023/34","KL27B9823",12-6-2023 00:00:00,"B2C4521",1386.00,,,"No",,,
56,30,"Regency",," AL/2023/34","KL27B9823",19-6-2023 00:00:00,"B2C5012",260.00,,,"No",,,
57,30,"Excel Auto Parts",," AL/2023/34","KL27B9823",9-6-2023 00:00:00,"EXCL14",1785.00,,,"No",,,
58,32,"Regency",," AL/2023/36","KL23M6543",20-5-2023 00:00:00,"B2C3141",1102.00,,,"No",,,
59,33,"Regency",," AL/2023/37","KL31E2751",3-6-2023 00:00:00,"B2C4050",50.00,,,"No",,,
60,33,"Regency",," AL/2023/37","KL31E2751",3-6-2023 00:00:00,"B2C4056",375.00,,,"No",,,
61,33,"Universal New Gen",," AL/2023/37","KL31E2751",3-6-2023 00:00:00,"1638",240.00,,,"No",,,
62,37,"Regency",," AL/2023/41","KL30A1501",27-4-2023 00:00:00,"B2C1604",230.00,,,,,,
63,39,"Regency",," AL/2023/43","KL23K6108",20-5-2023 00:00:00,"B2C3135",950.00,,,"No",,,
64,40,"Regency",," AL/2023/44","KL659217",26-5-2023 00:00:00,"B2C3497",1584.00,,,"No",,,
65,41,"Bardahl",," AL/2023/45","KL05AD1745",1-5-2023 00:00:00,"BHAR PREVOS",24697.00,,,"No",,,
66,41,"Regency",," AL/2023/45","KL05AD1745",5-6-2024 00:00:00,"B2C4351",170.00,,,"Yes",170.00,6-6-2024 00:00:00,"Rubbing Compond"
67,43,"Regency",," AL/2023/47","KL30A3345",23-5-2023 00:00:00,"B2C3262",270.00,,,"No",,,
