"VehicleID","CustomerID","RegistrationNumber","VehicleMake","VehicleModel","DateCreated"
1,1,"KL01BC6866","Maruti Suzuki","Zen Estilo",26-7-2025 12:01:09
2,2,"KL23G9001","Maruti Suzuki","Swift Dzire",26-7-2025 12:01:34
3,3,"KL61E1552","Toyota","Etios",26-7-2025 12:01:34
4,4,"KL23J7555","Maruti Suzuki","Alto",26-7-2025 12:01:34
5,4,"KL77B6077","Maruti Suzuki","Alto 800",26-7-2025 12:01:34
6,5,"KL246745","Maruti Suzuki","Alto",26-7-2025 12:01:34
7,6,"KL01BP5405","Volkswagen","Polo",26-7-2025 12:01:34
8,7,"KL29K1574","Maruti Suzuki","Wagon R",26-7-2025 12:01:34
9,8,"KL36A0099","Ford","Fiesta",26-7-2025 12:01:34
10,9,"KL09U3009","Hyundai","Santro",26-7-2025 12:01:34
11,9,"KL23M4123","Volkswagen","Ameo",26-7-2025 12:01:34
12,10,"KL07BK1991","Maruti Suzuki","Swift Dzire",26-7-2025 12:01:34
13,11,"KL35C4288","Maruti Suzuki","Ritz",26-7-2025 12:01:34
14,12,"KA51MA2508","Fiat","Punto",26-7-2025 12:01:34
15,13,"KL02Z6468","Maruti Suzuki","Alto",26-7-2025 12:01:34
16,14,"KL31K3839","Mahindra","Thar",26-7-2025 12:01:34
17,15,"KL01BS1272","Mahindra","Xylo",26-7-2025 12:01:34
18,16,"KL05AN2753","Maruti Suzuki","Swift Dzire",26-7-2025 12:01:34
19,16,"KL13AT5511","Toyota","Camry",26-7-2025 12:01:34
20,16,"KL23E9814","Toyota","Innova",26-7-2025 12:01:34
21,17,"KL29D4183","Maruti Suzuki","Swift",26-7-2025 12:01:34
22,18,"KL23N8124","Maruti Suzuki","Wagon R",26-7-2025 12:01:34
23,19,"KL39H5098","Hyundai","Verna Fluidic",26-7-2025 12:01:34
24,20,"KL23P3068","Toyota","Etios",26-7-2025 12:01:34
25,21,"KL16S8429","Nissan","Micra",26-7-2025 12:01:34
26,22,"MH03AZ3553","Honda","Accord",26-7-2025 12:01:34
27,23,"KL23M3008","Renault","Kwid",26-7-2025 12:01:34
28,24,"KL23N2979","Maruti Suzuki","Ignis",26-7-2025 12:01:34
29,25,"KL23M3456","Mahindra","Xuv 500",26-7-2025 12:01:34
30,26,"KL398443","Maruti Suzuki","Swift",26-7-2025 12:01:34
31,27,"HR29AU6232","Honda","Amaze",26-7-2025 12:01:34
32,28,"KL23V4662","Bmw","Bmw",26-7-2025 12:01:34
33,29,"TN12H0774","Hyundai","Grand I10",26-7-2025 12:01:34
34,30,"KL02BG7757","Hyundai","Eon",26-7-2025 12:01:34
35,31,"KL61C9106","Mahindra","Xuv 500",26-7-2025 12:01:34
36,32,"KL31F7026","Chevrolet","Enjoy",26-7-2025 12:01:34
37,33,"KL23K8441","Hyundai","I20",26-7-2025 12:01:34
38,34,"KL21V8487","Maruti Suzuki","Swift",26-7-2025 12:01:34
39,35,"DL9CT2221","Chevrolet","Cruze",26-7-2025 12:01:34
40,36,"KL23G7057","Chevrolet","Beat",26-7-2025 12:01:34
