"ServiceDetailsID","ServiceID","Description","IGSTRate","IGSTAmount","HSNCode","QNTY","SparePart","Unit","DiscountRate","DiscountAmount","SalePrice","Amount","TaxableAmount","TotalAmount"
1,1,"Pipe Welding",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,700.00
2,1,"Gear Oil",0.00,0.00,0,2.00,," Lt",0.00,0.00,,0.00,0.00,1350.00
3,1,"Condenser Fan Motor",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,3100.00
4,1,"Condenser Fan Bolt Welding",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,100.00
5,1,"Oil",0.00,0.00,0,5.00,," Lt",0.00,0.00,,0.00,0.00,2400.00
6,1,"Brake Fluid",0.00,0.00,0,1.00,," Lt",0.00,0.00,,0.00,0.00,700.00
7,1,"W.D 40",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,200.00
8,1,"Brake Master",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,4470.00
9,1,"Spare Parts",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,29070.00
10,1,"Gas",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,1700.00
11,1,"Mechanical Labour Charge",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,11600.00
12,1,"Power Window Switch Lh",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,650.00
13,1,"Front Winder Assy Rh",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,3460.00
14,1,"Front Wheather Strip",0.00,0.00,0,1.00,," Set",0.00,0.00,,0.00,0.00,680.00
15,1,"Rear Wheather Strip",0.00,0.00,0,1.00,," Set",0.00,0.00,,0.00,0.00,680.00
16,1,"Door Handle Lh",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,290.00
17,1,"Tag",0.00,0.00,0,5.00,,,0.00,0.00,,0.00,0.00,100.00
18,1,"Insulation Tape",0.00,0.00,0,6.00,,,0.00,0.00,,0.00,0.00,80.00
19,1,"Oring",0.00,0.00,0,5.00,,,0.00,0.00,,0.00,0.00,180.00
20,1,"Ac Labour",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,2500.00
21,1,"Electrical Labour",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,3500.00
22,1,"Silencer Welding",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,400.00
23,2,"Dicky Switch",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,980.00
24,2,"Labour Charge",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,2000.00
25,2,"Spare Parts",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,853.00
26,2,"Vent",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,300.00
27,2,"Extra Given",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,167.00
28,3,"Labour And Clutch Coil",0.00,0.00,0,,,"NA",0.00,0.00,,0.00,0.00,5200.00
29,5,"Oil",0.00,0.00,0,4.00,," Lt",0.00,0.00,,0.00,0.00,2160.00
30,5,"Oil Filter",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,351.00
31,5,"Wheel Cylinder",0.00,0.00,0,2.00,,,0.00,0.00,,0.00,0.00,1480.00
32,5,"Brake Fluid",0.00,0.00,0,250.00,," Ml",0.00,0.00,,0.00,0.00,135.00
33,5,"Clutch Set",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,8561.00
34,5,"Oil Seal",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,950.00
35,5,"Release Bearing",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,979.00
36,5,"Oil Cooler Gasket Kit",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,2200.00
37,5,"O-Ring Kit",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,2700.00
38,5,"Coolent",0.00,0.00,0,1.00,," Lt",0.00,0.00,,0.00,0.00,400.00
39,5,"Wd 40",0.00,0.00,0,,,,0.00,0.00,,0.00,0.00,210.00
40,5,"Relay",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,120.00
41,5,"Bumper",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,7150.00
42,5,"Under Guard",0.00,0.00,0,1.00,,,0.00,0.00,,0.00,0.00,4400.00
43,5,"Side Mirror Cover Big",0.00,0.00,0,2.00,,,0.00,0.00,,0.00,0.00,1400.00
