ServiceDetailsID,ServiceID,Description,ServiceEntryFound,JobCardNumber,CustomerID,VehicleID,Reason
"10926","1889","Dash Board Removal Labour","no","","","","jobcard_missing"
"10927","1889","Spare Parts","no","","","","jobcard_missing"
"14807","2502","Spare Parts","no","","","","jobcard_missing"
"14808","2502","Round Clip","no","","","","jobcard_missing"
"14809","2502","Wire","no","","","","jobcard_missing"
"14810","2502","W5W Capless Bulb","no","","","","jobcard_missing"
"14811","2502","Electrical & Mechanicallabour Charge","no","","","","jobcard_missing"
"14812","2502","Belt Tensioner","no","","","","jobcard_missing"
"14813","2502","Diesel Hose","no","","","","jobcard_missing"
"14814","2502","Coolant","no","","","","jobcard_missing"
"14815","2502","Labour Charge","no","","","","jobcard_missing"
"16810","2842","Brake Fluid & Labour","no","","","","jobcard_missing"
"16811","2842","Head Light Bulb","no","","","","jobcard_missing"
"16812","2842","P21W5W Bulb","no","","","","jobcard_missing"
"17066","2898","Spare Parts","no","","","","jobcard_missing"
"18141","4016","Spare Parts","no","","","","jobcard_missing"
"18163","4024","Starter Brush Assy","no","","","","jobcard_missing"
"18164","4024","Valve Door Assy","no","","","","jobcard_missing"
"18187","4024","Heater Hose","no","","","","jobcard_missing"
"18207","4024","Secondary Fuel Pump Motor","no","","","","jobcard_missing"
"18208","4024","Hose Clip","no","","","","jobcard_missing"
"18245","4036","Diesel","no","","","","jobcard_missing"
"18353","3912","Headlight Switch","no","","","","jobcard_missing"
"18354","3912","Heater Relay","no","","","","jobcard_missing"
"18368","3912","Wire 5mm","no","","","","jobcard_missing"
"18369","3912","Wire Sleev","no","","","","jobcard_missing"
"18370","3912","P21/5w Bulb","no","","","","jobcard_missing"
"18371","3912","Bosch Clip","no","","","","jobcard_missing"
"18372","3912","Round Clip 10th","no","","","","jobcard_missing"
"18373","3912","Wire 8mm","no","","","","jobcard_missing"
"18374","3912","Fuse 20 A","no","","","","jobcard_missing"
"18375","3912","Insulation Tape","no","","","","jobcard_missing"
"18376","3912","A/c Gas & Oil","no","","","","jobcard_missing"
"18446","4024","Axle Lh","no","","","","jobcard_missing"
"18554","4016","Round Clip","no","","","","jobcard_missing"
"18555","4016","Wire Sleeve","no","","","","jobcard_missing"
"18556","4016","Bosch Clip","no","","","","jobcard_missing"
"18557","4016","A/c Pipe Crimbing","no","","","","jobcard_missing"
"18558","4016","Insulation Tape","no","","","","jobcard_missing"
"18559","4016","A/c Gas & Oil","no","","","","jobcard_missing"
"18560","4016","Oring","no","","","","jobcard_missing"
"18561","4016","Valve Pin","no","","","","jobcard_missing"
"18562","4016","Tag","no","","","","jobcard_missing"
"18724","4117","Rear Cross Bar Set","no","","","","jobcard_missing"
"18725","4117","Spring","no","","","","jobcard_missing"
"18727","4054","Injector Old","no","","","","jobcard_missing"
"18728","4054","Injector Service","no","","","","jobcard_missing"
"18729","4054","Ecm Old","no","","","","jobcard_missing"
"18764","3882","Caliper Assy","no","","","","jobcard_missing"
"18810","4117","Spare Parts","no","","","","jobcard_missing"
"18815","4115","Spare Parts","no","","","","jobcard_missing"
"18818","4117","Rear Bumper","no","","","","jobcard_missing"
"18836","4024","Clutch Set Of 3","no","","","","jobcard_missing"
"18837","4024","Clutch Release Bearing","no","","","","jobcard_missing"
"18838","4024","Clutch Bleeding Valve","no","","","","jobcard_missing"
"18843","4073","Tail Lamp Rh & Lh","no","","","","jobcard_missing"
"18844","4073","Courier Charge","no","","","","jobcard_missing"
"18907","4054","Diesel","no","","","","jobcard_missing"
"18913","4022","Steering Coloumn Service","no","","","","jobcard_missing"
"18924","4073","Painting","no","","","","jobcard_missing"
"18933","4024","Denting","no","","","","jobcard_missing"
"18976","4022","Oil Pressure Switch","no","","","","jobcard_missing"
"18997","3882","Spare Parts","no","","","","jobcard_missing"
"18998","4022","Throttle Body Old","no","","","","jobcard_missing"
"19075","4171","Spare Parts","no","","","","jobcard_missing"
"19076","4171","Front Coil Spring","no","","","","jobcard_missing"
"19077","4171","Courier Charge","no","","","","jobcard_missing"
"19078","4171","Wd 40","no","","","","jobcard_missing"
"19079","4172","Starter Solenoid Switch","no","","","","jobcard_missing"
"19085","4054","Diesel For Wash","no","","","","jobcard_missing"
"19086","4054","Spare Parts","no","","","","jobcard_missing"
"19089","4054","Wheel Bearing Lathe","no","","","","jobcard_missing"
"19090","4193","Spare Parts","no","","","","jobcard_missing"
"19091","4193","Brake Pad","no","","","","jobcard_missing"
"19092","4193","Engine Oil","no","","","","jobcard_missing"
"19093","4193","Oil Filter","no","","","","jobcard_missing"
"19094","4193","Coolant","no","","","","jobcard_missing"
"19095","4193","Lower Arm Lathe","no","","","","jobcard_missing"
"19102","4196","Spare Parts","no","","","","jobcard_missing"
"19150","3882","Blot & Washer","no","","","","jobcard_missing"
"19163","4208","Front Grill Chrome","no","","","","jobcard_missing"
"19164","4208","Hood Moulding","no","","","","jobcard_missing"
"19165","4208","Rear Number Plate Garnish","no","","","","jobcard_missing"
"19166","4208","Cabin Filter","no","","","","jobcard_missing"
"19167","4208","Brake Fluid","no","","","","jobcard_missing"
"19168","4208","Wd 40","no","","","","jobcard_missing"
"19169","4208","Tag","no","","","","jobcard_missing"
"19202","4181","Abs Module Coding","no","","","","jobcard_missing"
"19203","4181","Spare Parts","no","","","","jobcard_missing"
"19205","4154","Spare Parts","no","","","","jobcard_missing"
"19207","4178","Painting","no","","","","jobcard_missing"
"19208","4178","Denting","no","","","","jobcard_missing"
"19212","4208","Double Side Tape","no","","","","jobcard_missing"
"19215","4213","A/c Gas & Oil","no","","","","jobcard_missing"
"19216","4213","Labour Charge","no","","","","jobcard_missing"
"19224","4217","Tensioner Pulley","no","","","","jobcard_missing"
"19225","4217","Idlear Pulley","no","","","","jobcard_missing"
"19226","4178","Number Plate","no","","","","jobcard_missing"
"19227","4226","Alternator Pulley","no","","","","jobcard_missing"
"19228","4218","Spare Parts","no","","","","jobcard_missing"
"19229","4225","Brake Pad","no","","","","jobcard_missing"
"19230","4225","Brake Liner","no","","","","jobcard_missing"
"19231","4225","Spare Parts","no","","","","jobcard_missing"
"19232","4225","Uj Cross Lathe","no","","","","jobcard_missing"
"19233","4225","Rotter Polish","no","","","","jobcard_missing"
"19234","4225","Drum Polish","no","","","","jobcard_missing"
"19235","4225","Brake Fluid","no","","","","jobcard_missing"
"19236","4225","Cotton Waste","no","","","","jobcard_missing"
"19237","4225","Wd 40","no","","","","jobcard_missing"
"19238","4225","Engine Oil","no","","","","jobcard_missing"
"19239","4217","Polo Compressor Pulley Bearing","no","","","","jobcard_missing"
"19240","4225","Oil Filter","no","","","","jobcard_missing"
"19244","4097","Spare Parts","no","","","","jobcard_missing"
"19249","4180","Spare Parts","no","","","","jobcard_missing"
"19261","4115","Wheel Bearing Lathe","no","","","","jobcard_missing"
"19262","4225","Radiator Cleaning","no","","","","jobcard_missing"
"19263","4178","Test Work","no","","","","jobcard_missing"
"19264","4154","Clock Spring","no","","","","jobcard_missing"
"19265","4154","Wd 40","no","","","","jobcard_missing"
"19266","4154","Cotton Waste","no","","","","jobcard_missing"
"19267","4154","Labour Charge","no","","","","jobcard_missing"
"19268","4178","5w5 Capless Bulb","no","","","","jobcard_missing"
"19269","4178","P21 Siingle Filament Bulb","no","","","","jobcard_missing"
"19270","4178","P21/5w Bulb","no","","","","jobcard_missing"
"19273","4097","Diesel For Wash","no","","","","jobcard_missing"
"19274","4223","Engine Oil 15w40","no","","","","jobcard_missing"
"19275","4223","Oil Filter","no","","","","jobcard_missing"
"19276","4223","Coolant Yellow","no","","","","jobcard_missing"
"19277","4223","Bonet Hood Shocker","no","","","","jobcard_missing"
"19278","4227","Engine Mount Rear","no","","","","jobcard_missing"
"19279","4225","Coolant","no","","","","jobcard_missing"
"19280","4225","Engine Oil Flush","no","","","","jobcard_missing"
"19281","4221","Spare Parts","no","","","","jobcard_missing"
"19282","4179","Spare Parts","no","","","","jobcard_missing"
"19283","4224","Valve Door Packing","no","","","","jobcard_missing"
"19284","4224","Super Sealer Gray","no","","","","jobcard_missing"
"19285","4224","Cotton Waste","no","","","","jobcard_missing"
"19286","4225","Labour Charge","no","","","","jobcard_missing"
