ServiceDetailsID,ServiceID,Description,IGSTRate,IGSTAmount,HSNCode,QNTY,SparePart,Unit,DiscountRate,DiscountAmount,SalePrice,Amount,TaxableAmount,TotalAmount
"10926","1889","Dash Board Removal Labour","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","2500.00"
"10927","1889","Spare Parts","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","3357.00"
"14807","2502","Spare Parts","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","290.00"
"14808","2502","Round Clip","0.00","0.00","0","1.00","","","0.00","0.00","","0.00","0.00","40.00"
"14809","2502","Wire","0.00","0.00","0","2.00",""," M","0.00","0.00","","0.00","0.00","80.00"
"14810","2502","W5W Capless Bulb","0.00","0.00","0","1.00","","","0.00","0.00","","0.00","0.00","20.00"
"14811","2502","Electrical & Mechanicallabour Charge","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","7000.00"
"14812","2502","Belt Tensioner","0.00","0.00","0","1.00","","","0.00","0.00","","0.00","0.00","5900.00"
"14813","2502","Diesel Hose","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","140.00"
"14814","2502","Coolant","0.00","0.00","0","1.00",""," L","0.00","0.00","","0.00","0.00","400.00"
"14815","2502","Labour Charge","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","2000.00"
"16810","2842","Brake Fluid & Labour","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","1800.00"
"16811","2842","Head Light Bulb","0.00","0.00","0","1.00","","","0.00","0.00","","0.00","0.00","155.00"
"16812","2842","P21W5W Bulb","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","60.00"
"17066","2898","Spare Parts","0.00","0.00","0","","","NA","0.00","0.00","","0.00","0.00","140.00"
"18141","4016","Spare Parts","0.00","0.00","0","0.00","","","0.00","0.00","","0.00","0.00","2789.00"
"18163","4024","Starter Brush Assy","0.00","0.00","0","1.00","","Nos","0.00","0.00","","0.00","0.00","950.00"
