legacyId,foundInServiceEntry,customerLegacy,customerExists,vehicleLegacy,vehicleExists,recommendedAction
1889,no,,, , ,fix-servicedescription-or-add-jobcard
2502,no,,, , ,fix-servicedescription-or-add-jobcard
2842,no,,, , ,fix-servicedescription-or-add-jobcard
2898,no,,, , ,fix-servicedescription-or-add-jobcard
3882,no,,, , ,fix-servicedescription-or-add-jobcard
3912,no,,, , ,fix-servicedescription-or-add-jobcard
3926,no,,, , ,fix-servicedescription-or-add-jobcard
3929,no,,, , ,fix-servicedescription-or-add-jobcard
4016,no,,, , ,fix-servicedescription-or-add-jobcard
4022,no,,, , ,fix-servicedescription-or-add-jobcard
4024,no,,, , ,fix-servicedescription-or-add-jobcard
4036,no,,, , ,fix-servicedescription-or-add-jobcard
4054,no,,, , ,fix-servicedescription-or-add-jobcard
4073,no,,, , ,fix-servicedescription-or-add-jobcard
4097,no,,, , ,fix-servicedescription-or-add-jobcard
4115,no,,, , ,fix-servicedescription-or-add-jobcard
4117,no,,, , ,fix-servicedescription-or-add-jobcard
4154,no,,, , ,fix-servicedescription-or-add-jobcard
4171,no,,, , ,fix-servicedescription-or-add-jobcard
4172,no,,, , ,fix-servicedescription-or-add-jobcard
4174,no,,, , ,fix-servicedescription-or-add-jobcard
4175,no,,, , ,fix-servicedescription-or-add-jobcard
4176,no,,, , ,fix-servicedescription-or-add-jobcard
4177,no,,, , ,fix-servicedescription-or-add-jobcard
4178,no,,, , ,fix-servicedescription-or-add-jobcard
4179,no,,, , ,fix-servicedescription-or-add-jobcard
4180,no,,, , ,fix-servicedescription-or-add-jobcard
4181,no,,, , ,fix-servicedescription-or-add-jobcard
4189,no,,, , ,fix-servicedescription-or-add-jobcard
4192,no,,, , ,fix-servicedescription-or-add-jobcard
4193,no,,, , ,fix-servicedescription-or-add-jobcard
4195,no,,, , ,fix-servicedescription-or-add-jobcard
4196,no,,, , ,fix-servicedescription-or-add-jobcard
4203,no,,, , ,fix-servicedescription-or-add-jobcard
4208,no,,, , ,fix-servicedescription-or-add-jobcard
4211,no,,, , ,fix-servicedescription-or-add-jobcard
4212,no,,, , ,fix-servicedescription-or-add-jobcard
4213,no,,, , ,fix-servicedescription-or-add-jobcard
4215,no,,, , ,fix-servicedescription-or-add-jobcard
4217,no,,, , ,fix-servicedescription-or-add-jobcard
4218,no,,, , ,fix-servicedescription-or-add-jobcard
4221,no,,, , ,fix-servicedescription-or-add-jobcard
4223,no,,, , ,fix-servicedescription-or-add-jobcard
4224,no,,, , ,fix-servicedescription-or-add-jobcard
4225,no,,, , ,fix-servicedescription-or-add-jobcard
4226,no,,, , ,fix-servicedescription-or-add-jobcard
4227,no,,, , ,fix-servicedescription-or-add-jobcard
4228,no,,, , ,fix-servicedescription-or-add-jobcard
4230,no,,, , ,fix-servicedescription-or-add-jobcard
4231,no,,, , ,fix-servicedescription-or-add-jobcard
4233,no,,, , ,fix-servicedescription-or-add-jobcard
4234,no,,, , ,fix-servicedescription-or-add-jobcard
4237,no,,, , ,fix-servicedescription-or-add-jobcard
4238,no,,, , ,fix-servicedescription-or-add-jobcard
4239,no,,, , ,fix-servicedescription-or-add-jobcard
4240,no,,, , ,fix-servicedescription-or-add-jobcard
4241,no,,, , ,fix-servicedescription-or-add-jobcard
4242,no,,, , ,fix-servicedescription-or-add-jobcard
4243,no,,, , ,fix-servicedescription-or-add-jobcard
4245,no,,, , ,fix-servicedescription-or-add-jobcard
4246,no,,, , ,fix-servicedescription-or-add-jobcard
4247,no,,, , ,fix-servicedescription-or-add-jobcard
4248,no,,, , ,fix-servicedescription-or-add-jobcard
4249,no,,, , ,fix-servicedescription-or-add-jobcard
4250,no,,, , ,fix-servicedescription-or-add-jobcard
4252,no,,, , ,fix-servicedescription-or-add-jobcard
4253,no,,, , ,fix-servicedescription-or-add-jobcard
4254,no,,, , ,fix-servicedescription-or-add-jobcard
4257,no,,, , ,fix-servicedescription-or-add-jobcard
4258,no,,, , ,fix-servicedescription-or-add-jobcard
4261,no,,, , ,fix-servicedescription-or-add-jobcard
4262,no,,, , ,fix-servicedescription-or-add-jobcard
4263,no,,, , ,fix-servicedescription-or-add-jobcard
4264,no,,, , ,fix-servicedescription-or-add-jobcard
4265,no,,, , ,fix-servicedescription-or-add-jobcard
4266,no,,, , ,fix-servicedescription-or-add-jobcard
4267,no,,, , ,fix-servicedescription-or-add-jobcard
4268,no,,, , ,fix-servicedescription-or-add-jobcard
4269,no,,, , ,fix-servicedescription-or-add-jobcard
4271,no,,, , ,fix-servicedescription-or-add-jobcard
4272,no,,, , ,fix-servicedescription-or-add-jobcard
4273,no,,, , ,fix-servicedescription-or-add-jobcard
4275,no,,, , ,fix-servicedescription-or-add-jobcard
4276,no,,, , ,fix-servicedescription-or-add-jobcard
4281,no,,, , ,fix-servicedescription-or-add-jobcard
4282,no,,, , ,fix-servicedescription-or-add-jobcard
4283,no,,, , ,fix-servicedescription-or-add-jobcard
4285,no,,, , ,fix-servicedescription-or-add-jobcard
4287,no,,, , ,fix-servicedescription-or-add-jobcard
4288,no,,, , ,fix-servicedescription-or-add-jobcard
4289,no,,, , ,fix-servicedescription-or-add-jobcard
4290,no,,, , ,fix-servicedescription-or-add-jobcard
4291,no,,, , ,fix-servicedescription-or-add-jobcard
4292,no,,, , ,fix-servicedescription-or-add-jobcard
